,title,address,district,latitude,longitude,id,gender,type
41,almwred private schools,2714 ash shaikh abdul aziz ibn abdul rahman ibn bishr - Al Khaleej Dist.,Al Khaleej ,24.7732374480003,46.7835473140003,10100003055,كلاهما,جميع المراحل
42, مدارس الصدارة,7098 no. 107 - Al Narjis Dist.,Al Narjis ,24.8192111818279,46.6853692813301,10100003150,بنين,جميع المراحل
43,almnar private schools for girls,3197 al mulaysan - Al Yarmuk Dist.,Al Yarmuk ,24.803990422394,46.7876110494487,10100003139,بنات,جميع المراحل
44,alquds secondary schoo,2432 marakish - Al Quds Dist.,Al Quds ,24.7570548387739,46.7431373547774,10100003081,كلاهما,متوسط
45,al-masoudi intermediate schoo,2855 al bayda - Al Rabwah Dist.,Al Rabwah ,24.6824181223503,46.7628246552919,10100003047,كلاهما,متوسط
46, مدارس المتقدمة,4295 satam ghazay al mutairi - Al Shohda Dist.,Al Shohda ,24.7845547998355,46.7447565383048,10100003016,كلاهما,جميع المراحل
48,alnnumuww al'ahlia  school  secondary,7716  - Al Arid Dist.,Al Arid ,24.865968693267,46.6412834521039,10100003148,كلاهما,متوسط
49,al-trbyh al-namothajyah kindergarten schoo,3565 al amir majid ibn abdul aziz - Al Rayan Dist.,Al Rayan ,24.7104164161515,46.7771362904316,10100003090,كلاهما,حضانة
50,alttamayuz alttarbiwi al'ahlia school,7254 prince abdulaziz ibn ayyaf - Al Yasmeen Dist.,Al Yasmeen ,24.8302490417487,46.6470617340556,10100003147,كلاهما,جميع المراحل
52,awayil almubadiein schoo,3647 al hussain ibn ali - Al Maseef Dist.,Al Maseef ,24.767395095689,46.6845414338105,10100003084,كلاهما,جميع المراحل
53,al-trbyh al-namothajyah school -rayan,3262 al amir majid ibn abdul aziz - Al Rayan Dist.,Al Rayan ,24.709605555327,46.774261187698,10100003090,كلاهما,جميع المراحل
54,مدارس أمجاد قرطبة,3286 raya - Qurtubah Dist.,Qurtubah ,24.8060011003166,46.7444554400477,10100003101,كلاهما,جميع المراحل
55,as sumoo schoo,2318 shuhada badr - Al Muruj Dist.,Al Muruj ,24.7590519474731,46.6541580524186,10100003110,كلاهما,جميع المراحل
56,american international schoo,2800  - Al Arid Dist.,Al Arid ,24.8467562956395,46.6352624147187,10100003148,كلاهما,جميع المراحل
57, مدارس الأرقم,3624 abi muhammad ad dabbas - Al Shohda Dist.,Al Shohda ,24.786043710058,46.7380775100049,10100003016,بنات,جميع المراحل
58,alwustaa schoo,6304 ar rajmiyah - Al Maseef Dist.,Al Maseef ,24.7562643659513,46.6812666349713,10100003084,كلاهما,جميع المراحل
59,ansar schoo,2490 al kawatil - Al Dar Al Baida Dist.,Al Dar Al Baida ,24.5568220204526,46.7628126236064,10100003130,كلاهما,جميع المراحل
60,boys elementary schoo,"""3208 hera'a street - Assafarat Dist.""",Assafarat ,24.6789873376094,46.615746093823,10100003099,بنين,إبتدائي
61,cordoba private schools,3347 al qalam - Al Munisiyah Dist.,Al Munisiyah ,24.818481409788,46.7628468193656,10100003140,كلاهما,جميع المراحل
63,blossom international school riyadh,7391 muhammad ibn uthaimin - King Faisal Dist.,King Faisal ,24.7593959001471,46.7844479786465,10100003027,كلاهما,جميع المراحل
64,المدرسة البريطانية العالمية,7680 ibrahim mubarak said ad dusari - Al Shohda Dist.,Al Shohda ,24.7912954176327,46.7300190799723,10100003016,كلاهما,جميع المراحل
66,boys secondary schoo,7647 dareen street - Assafarat Dist.,Assafarat ,24.682542648929,46.6283712164874,10100003099,بنين,متوسط
68,boys intermidate schoo,3588 arradaef street - Assafarat Dist.,Assafarat ,24.6812482221417,46.6285044663038,10100003099,بنين,متوسط
69,crayons international schoo,3249 jalilah bint murrah - Al Mursalat Dist.,Al Mursalat ,24.7391361987511,46.6888768331951,10100003024,كلاهما,جميع المراحل
70,dar es salaam schools,3071 ahmad al waidh - Al Rahmaniyah Dist.,Al Rahmaniyah ,24.7217491362435,46.657434841726,10100003013,كلاهما,جميع المراحل
71,ducational age international schools,6897 al ulaya - Al Yasmeen Dist.,Al Yasmeen ,24.8181342613745,46.6228155392516,10100003147,كلاهما,جميع المراحل
72,dar aluloom schools,3773 al mizan - Al Falah Dist.,Al Falah ,24.7968258017502,46.7137099221056,10100003022,كلاهما,جميع المراحل
74,مدارس دار البراءة الأهلية,8007 Al Sonbolah - Al Narjis Dist.,Al Narjis ,24.8429812545218,46.6675245236783,10100003150,كلاهما,جميع المراحل
75,dar global elite schools,7211 muhammad al yusufi - Al Aqeeq Dist.,Al Aqeeq ,24.7801912500979,46.6170580174816,10100003107,كلاهما,جميع المراحل
76,krmah primary schoo,7247 Al Abbas Bin Jareer - Al Saadah Dist.,Al Saadah ,24.6889008198512,46.8269272700712,10100003036,كلاهما,إبتدائي
77,dar almarifah  schools benin,2493 umar ibn rubian - West Naseem Dist.,West Naseem ,24.7357838549724,46.8086465070976,10100003167,بنين,جميع المراحل
78,delta national schoo,7138 al amir abdullah ibn faisal ibn abdul aziz - Salahuddin Dist.,Salahuddin ,24.7298216333606,46.6941597047001,10100003043,كلاهما,جميع المراحل
79,mentary school 156,5063 muhammad al jabali - Al Nakheel Dist.,Al Nakheel ,24.7546994398346,46.6478188834645,10100003108,بنات,إبتدائي
81,generation of good schools eligibility for girls,4063 hibatullah al bawsiri - Al Aqeeq Dist.,Al Aqeeq ,24.7845969252606,46.6327748382766,10100003107,بنات,جميع المراحل
82,girls schools complex,8199 abi al qasim al hashimi - Al Rawabi Dist.,Al Rawabi ,24.69958987761,46.7876094757052,10100003089,بنات,جميع المراحل
83,forty-third high schoo,8445 jabal buwaib - Al Dar Al Baida Dist.,Al Dar Al Baida ,24.5646944671894,46.7690870243316,10100003130,بنات,ثانوي
84,girls schoo,7291 ghazi al qasaibi - Al Hamra Dist.,Al Hamra ,24.7793613947469,46.7568343755162,10100003129,بنات,جميع المراحل
85,fatimat bnt asd  school intermedia,7028 prince fahad bin mohammad bin abdul aziz - Al Malqa Dist.,Al Malqa ,24.7838095753086,46.5811638273336,10100003145,بنات,متوسط
86,gharas al'akhlaq school for girls,2855 al hussatayn - Al Nafel Dist.,Al Nafel ,24.7874810215216,46.6686477873385,10100003083,بنات,جميع المراحل
88,Generations Private Schools,4724 zaidal khyr - Al Rawdah Dist.,Al Rawdah ,24.73463291498,46.7823242291502,10100003088,كلاهما,جميع المراحل
89,growth national schools,7720 King Abdulaziz - Al Sahafah Dist.,Al Sahafah ,24.8091161246402,46.6480890348472,10100003123,كلاهما,جميع المراحل
90,hajer alyamama private schools,7084 muhammad al qusaibi - King Faisal Dist.,King Faisal ,24.756765029995,46.7718905466203,10100003027,كلاهما,جميع المراحل
91,huda private school primary section,6252 al amar - Al Aziziyah Dist.,Al Aziziyah ,24.5894990756764,46.7637997747293,10100003029,كلاهما,إبتدائي
92,mam saud alkabeer primary schoo,7088 hajar ibn yazid - West Naseem Dist.,West Naseem ,24.7349108703871,46.815181046364,10100003167,بنين,إبتدائي
93,hamad al jaser intermediate schoo,3168 no. 2 - Al Jazeerah Dist.,Al Jazeerah ,24.6566652144365,46.7961695088266,10100003035,بنين,متوسط
94,bn al  ameed elementary schoo,7918 Ibn Al Athir - Al Olaya Dist.,Al Olaya ,24.7056842030523,46.6688877376429,10100003075,بنين,إبتدائي
95,haneen intermediate school for boys,8148 hawtah bani tamim - Al Olaya Dist.,Al Olaya ,24.7070532608947,46.6724716504701,10100003075,بنين,متوسط
97,gulf girls schools,7533 prince ahmad ibn abdulaziz - Al Woroud Dist.,Al Woroud ,24.7272968056079,46.6808046545041,10100003026,بنات,جميع المراحل
98,haroon ar rasheed pymari schoo,7277 yahya ibn abi ishaq - Al Rabwah Dist.,Al Rabwah ,24.6999897073748,46.7506748957574,10100003047,بنين,إبتدائي
99,deal education schools complex,3791 Al Ameer Miqren Bin Abdulaziz - Al Nuzha Dist.,Al Nuzha ,24.7555982640812,46.7124679174424,10100003025,كلاهما,جميع المراحل
100,ntermediate school 202,7370 sabat as saudi - Al Nuzha Dist.,Al Nuzha ,24.7561226523562,46.7161287493108,10100003025,بنات,متوسط
101,khaled bin al waleed primary schoo,4585 al loaloah - King Abdullah Dist.,King Abdullah ,24.714784192152,46.7575832844606,10100003041,بنين,إبتدائي
102,إبتدائية المغيره بن حكيم,7191 al sharabi - Qurtubah Dist.,Qurtubah ,24.8198961992185,46.7289508094412,10100003101,بنين,إبتدائي
103,jehad secondary schoo,2704 ali al hawfi - Al Dar Al Baida Dist.,Al Dar Al Baida ,24.562890240882,46.7648039945211,10100003130,بنين,متوسط
104,mam tabarani middle schoo,8613 muhammad ash shawi - East Naseem Dist.,East Naseem ,24.7368292997188,46.8363915669267,10100003080,بنين,متوسط
105,ntilaka schools,2787 al amir badr ibn abdul aziz - Al Rabwah Dist.,Al Rabwah ,24.7024405327532,46.752866592053,10100003047,كلاهما,جميع المراحل
106,king faisal foundation schoo,3542 s street - Assafarat Dist.,Assafarat ,24.6834250323853,46.6190773392312,10100003099,كلاهما,جميع المراحل
108,International Indian Schoo,Riyadh,Street': 'kharis branch rd,UnitNumber': Non,atitude': '24.722407145796,PKAddressID': '1321138146876,كلاهما,جميع المراحل
109,khaled international schoo,4209 al amir fawaz ibn abdul aziz - Al Rabwah Dist.,Al Rabwah ,24.6970184999798,46.7451355773849,10100003047,كلاهما,جميع المراحل
110,kingdom schools,6693 King Abdulaziz - Al Rabie Dist.,Al Rabie ,24.7925416482883,46.6587907066842,10100003104,كلاهما,جميع المراحل
115,مدارس التعلم,4001 yafa - Qurtubah Dist.,Qurtubah ,24.8269205678386,46.7455537447589,10100003101,بنين,جميع المراحل
117,muhammad iqbal primary schoo,3633 hind bint utbat - West Naseem Dist.,West Naseem ,24.7159013184837,46.8310781151897,10100003167,بنين,إبتدائي
119,manarat al riyadh international schoo,3519 eastern ring branch rd - Al Ezdihar Dist.,Al Ezdihar ,24.788832397888,46.7179672686087,10100003086,كلاهما,جميع المراحل
120,mujahed middle schoo,3736 umar ibn abdul aziz branch rd - Al Rabwah Dist.,Al Rabwah ,24.6916582646094,46.7622323243197,10100003047,بنين,متوسط
121,nayyar national schools complex public administration,3744 al qalam - Al Rabie Dist.,Al Rabie ,24.8016568745325,46.6691538006947,10100003104,كلاهما,جميع المراحل
122,om alqura schools  the globa,7169 ash shaikh abdul rahman ibn abdul latif ibn abdul  - Al Manar Dist.,Al Manar ,24.7230181860936,46.8067160137927,10100003079,كلاهما,جميع المراحل
123,najd national schools and lnternationa,7571 king fahd branch road - Al Woroud Dist.,Al Woroud ,24.7254234307713,46.6673786181215,10100003026,كلاهما,جميع المراحل
124,nwrt bnt faysal bin trky  school  primary,7028 prince fahad bin mohammad bin abdul aziz - Al Malqa Dist.,Al Malqa ,24.7842521550556,46.5819918797636,10100003145,بنين,إبتدائي
125,multinational schoo,7477 Al Barakah - Al Falah Dist.,Al Falah ,24.7982510175176,46.7096001868465,10100003022,كلاهما,جميع المراحل
126,neyar schools   girls,3808 al qalam - Al Rabie Dist.,Al Rabie ,24.801878164406,46.6697534248683,10100003104,بنات,جميع المراحل
127,pioneers of science civil schoo,2799 al kharj - Al Aziziyah Dist.,Al Aziziyah ,24.6090724095573,46.7653311385699,10100003029,كلاهما,جميع المراحل
